id,company_id,location_id,pos_id,receipt_id,receipt_date,net_total,gross_total,tips,total_receipt_discounts,total_item_discounts,external_user_id,revenue_center,receipt_lines,tip_details,status,created_date,modified_date
fe5350ac-badb-490b-8a98-37bb7de53937,163696,126664,9,TpqKZRFa57k5GS4m9422Xr2eV,2023-06-12T21:54:38+00:00,0,349,0,349,349,TMghgXAgLEZvAfee,,"[{'id': None, 'location_id': 126664, 'external_item_id': 'JU233ZZS6L7EF455ANK6QZWQ', 'external_category_ids': ['Drinks'], 'quantity': 1, 'price': 0, 'gross_item_price': 349, 'net_item_price': 0, 'item_discount': 349, 'created': '2023-06-12T21:54:38+00:00'}]","[{'type': 'total', 'value': 0}, {'type': 'gratuity', 'value': 0}]",closed,2023-06-12T21:54:43+00:00,2023-06-12T21:54:43+00:00
d9c62619-0e50-4c12-8bd5-a846d498b5a0,163696,126664,9,ZhVWfzj2E4wnQjUPdXmZ6FpOx27YY,2023-06-12T21:55:09+00:00,1597,1597,0,0,0,,,"[{'id': None, 'location_id': 126664, 'external_item_id': 'IAA3IJSCB5NWEM6WONLWSSYT', 'external_category_ids': ['Combos'], 'quantity': 1, 'price': 1597, 'gross_item_price': 1597, 'net_item_price': 1597, 'item_discount': 0, 'created': '2023-06-12T21:55:07+00:00'}]","[{'type': 'total', 'value': 0}, {'type': 'gratuity', 'value': 0}]",closed,2023-06-12T21:55:13+00:00,2023-06-12T21:55:13+00:00
72b79209-e261-4b6e-ae9b-59d8ed4f2fc4,163696,126664,9,fknHPBuBlBPGhSaxcfH1u8zLVDWZY,2023-06-12T21:57:11+00:00,799,799,0,0,0,,,"[{'id': None, 'location_id': 126664, 'external_item_id': 'YQVNPPVHN43K2EMGWZ54IBH2', 'external_category_ids': ['Sides'], 'quantity': 1, 'price': 799, 'gross_item_price': 799, 'net_item_price': 799, 'item_discount': 0, 'created': '2023-06-12T21:57:09+00:00'}]","[{'type': 'total', 'value': 0}, {'type': 'gratuity', 'value': 0}]",closed,2023-06-12T21:57:14+00:00,2023-06-12T21:57:14+00:00
5528ca44-5e48-430d-a43c-adf8afe4f855,163696,126664,9,dlMZnDcj74mB3EeQI4207dPpZhIZY,2023-06-12T22:08:53+00:00,2969,2969,0,0,0,,,"[{'id': None, 'location_id': 126664, 'external_item_id': 'D47KNSPYE62NUTVLC4FLWTHU', 'external_category_ids': ['Sauces'], 'quantity': 1, 'price': 125, 'gross_item_price': 125, 'net_item_price': 125, 'item_discount': 0, 'created': '2023-06-12T22:08:52+00:00'}, {'id': None, 'location_id': 126664, 'external_item_id': 'P2BMYDVE2YW5XOQRO4PJCQHT', 'external_category_ids': ['Combos'], 'quantity': 1, 'price': 2844, 'gross_item_price': 2844, 'net_item_price': 2844, 'item_discount': 0, 'created': '2023-06-12T22:08:52+00:00'}]","[{'type': 'total', 'value': 0}, {'type': 'gratuity', 'value': 0}]",closed,2023-06-12T22:08:56+00:00,2023-06-12T22:08:56+00:00
68199b4b-dcab-47a0-b95a-5004db547c10,163696,126664,9,djXvbVEbcvfxjCmLFErMKGQuFiRZY,2023-06-12T22:18:49+00:00,2270,3070,0,800,800,,,"[{'id': None, 'location_id': 126664, 'external_item_id': 'P2BMYDVE2YW5XOQRO4PJCQHT', 'external_category_ids': ['Combos'], 'quantity': 1, 'price': 1845, 'gross_item_price': 2495, 'net_item_price': 1845, 'item_discount': 650, 'created': '2023-06-12T22:18:47+00:00'}, {'id': None, 'location_id': 126664, 'external_item_id': '2LGRXFTJXJZVU6I2AHHE7D2M', 'external_category_ids': ['Sandwiches'], 'quantity': 1, 'price': 425, 'gross_item_price': 575, 'net_item_price': 425, 'item_discount': 150, 'created': '2023-06-12T22:18:47+00:00'}]","[{'type': 'total', 'value': 0}, {'type': 'gratuity', 'value': 0}]",closed,2023-06-12T22:18:52+00:00,2023-06-12T22:18:52+00:00
98d7ab0f-4de6-4be4-9156-84b6be806f92,163696,126664,9,Pu8tjh9ILkMcykSrn8P1qJ0xa9UZY,2023-06-12T22:21:30+00:00,2046,2046,0,0,0,,,"[{'id': None, 'location_id': 126664, 'external_item_id': 'DA6LYEC57GG24LLNVG6H5EYA', 'external_category_ids': ['Combos'], 'quantity': 1, 'price': 2046, 'gross_item_price': 2046, 'net_item_price': 2046, 'item_discount': 0, 'created': '2023-06-12T22:21:28+00:00'}]","[{'type': 'total', 'value': 0}, {'type': 'gratuity', 'value': 0}]",closed,2023-06-12T22:21:34+00:00,2023-06-12T22:21:34+00:00
24fbb81e-dc79-48a9-abe6-66df30a71ac6,163696,126664,9,bnP4qF2Dobvrk0ci0KyDso0eV,2023-06-12T22:24:02+00:00,1399,1399,210,0,0,TMULmkxeiKUITSrW,,"[{'id': None, 'location_id': 126664, 'external_item_id': 'IAA3IJSCB5NWEM6WONLWSSYT', 'external_category_ids': ['Combos'], 'quantity': 1, 'price': 1399, 'gross_item_price': 1399, 'net_item_price': 1399, 'item_discount': 0, 'created': '2023-06-12T22:24:02+00:00'}]","[{'type': 'total', 'value': 210}, {'type': 'gratuity', 'value': 0}]",closed,2023-06-12T22:24:11+00:00,2023-06-12T22:24:30+00:00
6362d693-af78-4b47-abf6-40f6432de010,163696,126664,9,3NBBv0T1BykbXTS6BfCdyIieV,2023-06-12T22:35:53+00:00,2299,2299,0,0,0,TMULmkxeiKUITSrW,,"[{'id': None, 'location_id': 126664, 'external_item_id': 'P2BMYDVE2YW5XOQRO4PJCQHT', 'external_category_ids': ['Combos'], 'quantity': 1, 'price': 2299, 'gross_item_price': 2299, 'net_item_price': 2299, 'item_discount': 0, 'created': '2023-06-12T22:35:53+00:00'}]","[{'type': 'total', 'value': 0}, {'type': 'gratuity', 'value': 0}]",closed,2023-06-12T22:36:00+00:00,2023-06-12T22:36:21+00:00
2cb214b8-47c6-48c2-b9f1-1a5f2ce1b7ac,163696,126664,9,Fa0BFtFs7hYpagkmaAJvxg2eV,2023-06-12T22:43:18+00:00,1347,1347,202,0,0,TMULmkxeiKUITSrW,,"[{'id': None, 'location_id': 126664, 'external_item_id': 'EKCUTKWPRCXZ5ZBG4FX3XUFT', 'external_category_ids': ['Sandwiches'], 'quantity': 1, 'price': 449, 'gross_item_price': 449, 'net_item_price': 449, 'item_discount': 0, 'created': '2023-06-12T22:43:18+00:00'}, {'id': None, 'location_id': 126664, 'external_item_id': 'L44BMPUIUSM7CWF2QMIOGGPL', 'external_category_ids': ['Sandwiches'], 'quantity': 2, 'price': 898, 'gross_item_price': 898, 'net_item_price': 898, 'item_discount': 0, 'created': '2023-06-12T22:43:18+00:00'}]","[{'type': 'total', 'value': 202}, {'type': 'gratuity', 'value': 0}]",closed,2023-06-12T22:43:25+00:00,2023-06-12T22:43:48+00:00
b46ff152-e2ee-417f-986f-e2dca31b2376,163696,126664,9,ftRUo1Q77DWQhcckPelKaJgeV,2023-06-12T22:46:25+00:00,499,499,0,0,0,TMULmkxeiKUITSrW,,"[{'id': None, 'location_id': 126664, 'external_item_id': '2FTEGN36NN3OO7BUCM3BGYON', 'external_category_ids': ['Sandwiches'], 'quantity': 1, 'price': 499, 'gross_item_price': 499, 'net_item_price': 499, 'item_discount': 0, 'created': '2023-06-12T22:46:25+00:00'}]","[{'type': 'total', 'value': 0}, {'type': 'gratuity', 'value': 0}]",closed,2023-06-12T22:46:30+00:00,2023-06-12T22:46:52+00:00
ac516a77-a16c-48d8-a8c3-e26449a67c91,163696,126664,9,HdtpLtWU6qfeupepuV3Q0l9eV,2023-06-12T22:47:38+00:00,1399,1399,0,0,0,TMULmkxeiKUITSrW,,"[{'id': None, 'location_id': 126664, 'external_item_id': 'IAA3IJSCB5NWEM6WONLWSSYT', 'external_category_ids': ['Combos'], 'quantity': 1, 'price': 1399, 'gross_item_price': 1399, 'net_item_price': 1399, 'item_discount': 0, 'created': '2023-06-12T22:47:38+00:00'}]","[{'type': 'total', 'value': 0}, {'type': 'gratuity', 'value': 0}]",closed,2023-06-12T22:47:45+00:00,2023-06-12T22:48:07+00:00
56bbe40d-2205-4d94-b523-c844b4530587,163696,126664,9,rmvsBKOOLr44sVXQionkPgRlRJ8YY,2023-06-12T22:53:05+00:00,2596,3396,0,800,800,,,"[{'id': None, 'location_id': 126664, 'external_item_id': 'IAA3IJSCB5NWEM6WONLWSSYT', 'external_category_ids': ['Combos'], 'quantity': 1, 'price': 1221, 'gross_item_price': 1597, 'net_item_price': 1221, 'item_discount': 376, 'created': '2023-06-12T22:53:04+00:00'}, {'id': None, 'location_id': 126664, 'external_item_id': 'AOQI5PFK5ECCFQLKBPVJE7TX', 'external_category_ids': ['Sauces'], 'quantity': 1, 'price': 96, 'gross_item_price': 125, 'net_item_price': 96, 'item_discount': 29, 'created': '2023-06-12T22:53:04+00:00'}, {'id': None, 'location_id': 126664, 'external_item_id': '2FTEGN36NN3OO7BUCM3BGYON', 'external_category_ids': ['Sandwiches'], 'quantity': 1, 'price': 439, 'gross_item_price': 575, 'net_item_price': 439, 'item_discount': 136, 'created': '2023-06-12T22:53:04+00:00'}, {'id': None, 'location_id': 126664, 'external_item_id': 'HI2I5IBVXCT6AD6TSAMF2XLP', 'external_category_ids': ['Sandwiches'], 'quantity': 1, 'price': 439, 'gross_item_price': 575, 'net_item_price': 439, 'item_discount': 136, 'created': '2023-06-12T22:53:04+00:00'}, {'id': None, 'location_id': 126664, 'external_item_id': 'HIGOY6ONFOISUNI5H3DD4FIU', 'external_category_ids': ['Sauces'], 'quantity': 1, 'price': 96, 'gross_item_price': 125, 'net_item_price': 96, 'item_discount': 29, 'created': '2023-06-12T22:53:04+00:00'}, {'id': None, 'location_id': 126664, 'external_item_id': 'WU3GGBKK6R6TVH5ZF6ZQM7H6', 'external_category_ids': ['Sides'], 'quantity': 1, 'price': 305, 'gross_item_price': 399, 'net_item_price': 305, 'item_discount': 94, 'created': '2023-06-12T22:53:04+00:00'}]","[{'type': 'total', 'value': 0}, {'type': 'gratuity', 'value': 0}]",closed,2023-06-12T22:53:09+00:00,2023-06-12T22:53:09+00:00
